Label,Eye_Distance,Nose_Chin_Distance,Mouth_Width
African,75.32595834106593,45.27692569068709,35.6931365951495
African,79.0,52.23983154643591,42.04759208325728
African,67.0,56.00892785976178,41.0
African,78.02563681252464,64.1248781675256,49.0
African,76.05918747922567,52.03844732503075,43.104524124504614
African,76.00657866263946,62.12889826803627,43.01162633521314
African,66.007575322837,61.032778078668514,42.01190307520001
African,73.0,59.00847396772772,46.010868281309364
African,71.02816342831905,54.0,43.18564576337837
African,70.00714249274856,71.06335201775947,49.01020301937138
African,69.00724599634447,59.00847396772772,43.0
African,70.06425622241343,67.11929677819934,41.012193308819754
African,71.25307010929424,51.088159097779204,45.044422518220834
African,66.0,67.02984409947557,41.0
African,69.00724599634447,61.0,42.0
African,69.0,50.0,35.0
African,68.00735254367721,65.00769185258002,44.01136216933077
African,73.02739212103907,62.00806399170998,47.01063709417264
African,71.0,50.0,35.12833614050059
African,76.05918747922567,66.007575322837,44.01136216933077
African,67.06713054842886,60.29925372672534,42.1070065428546
African,67.47592163134935,58.034472514187634,45.39823785126467
African,74.10802925459562,59.135437767890075,40.049968789001575
African,75.16648189186454,56.0357029044876,39.20459156782532
African,67.02984409947557,60.00833275470999,41.012193308819754
African,69.02897942168927,59.00847396772772,48.041648597857254
African,76.02631123499285,59.033888572581766,52.009614495783374
African,71.00704190430693,63.0317380372777,49.01020301937138
African,72.02777242147643,54.00925846556311,37.013511046643494
African,71.0,51.0098029794274,38.01315561749642
African,72.0,54.00925846556311,42.0
African,65.19202405202648,55.0,34.23448553724738
African,81.02468759581859,50.039984012787215,42.1070065428546
African,67.00746227100382,55.00909015790027,45.0111097397076
African,60.13318551349163,57.3149195236284,41.30375285612676
African,69.1158447825099,50.15974481593781,37.013511046643494
African,61.00819617067857,58.008620049092706,43.01162633521314
African,60.07495318350236,56.22277118748239,38.118237105091836
African,65.06919393998976,60.207972893961475,55.036351623268054
African,67.26812023536856,61.5223536610881,52.23983154643591
African,65.06919393998976,52.23983154643591,40.049968789001575
African,63.50590523722971,48.507731342539614,37.33630940518894
African,63.071388124885914,58.137767414994535,55.08175741568164
African,65.06919393998976,55.08175741568164,55.00909015790027
African,66.007575322837,61.00819617067857,50.00999900019995
African,72.56031973468694,54.74486277268398,44.181444068749045
American,73.00684899377592,53.009433122794285,41.012193308819754
American,78.0,54.00925846556311,38.01315561749642
American,63.0317380372777,64.1248781675256,35.014282800023196
American,67.02984409947557,64.28063471995279,54.08326913195984
American,71.02816342831905,57.0350769263968,40.049968789001575
American,68.0294054067798,57.0087712549569,46.0
American,63.00793600809346,58.008620049092706,38.0
American,61.00819617067857,56.0,40.0
American,67.11929677819934,52.03844732503075,48.010415536631214
American,68.0294054067798,59.07622195096772,41.048751503547585
American,70.06425622241343,59.033888572581766,36.05551275463989
American,67.00746227100382,57.0,37.0
American,72.06247289678588,62.20128616033595,59.033888572581766
American,68.0294054067798,56.0,35.0
American,66.007575322837,60.03332407921454,43.0
American,63.00793600809346,60.07495318350236,36.013886210738214
American,71.06335201775947,54.08326913195984,36.05551275463989
American,68.0294054067798,59.00847396772772,43.01162633521314
American,68.0,54.037024344425184,43.0
American,62.00806399170998,62.00806399170998,39.01281840626232
American,62.20128616033595,58.309518948453004,33.06055050963308
American,61.00819617067857,56.08029957123981,45.09988913511872
American,63.12685640834652,56.00892785976178,51.088159097779204
American,63.0,58.0,41.012193308819754
American,64.07027391856539,56.22277118748239,51.088159097779204
American,63.00793600809346,54.00925846556311,33.0
American,66.18912297349165,60.207972893961475,36.013886210738214
American,68.00735254367721,60.00833275470999,44.01136216933077
American,73.0,62.00806399170998,58.0
American,66.03029607687671,63.071388124885914,37.013511046643494
American,64.03124237432849,61.07372593840988,53.08483775994799
American,64.0,57.0,40.01249804748511
American,58.309518948453004,67.00746227100382,36.124783736376884
American,72.06247289678588,55.00909015790027,42.04759208325728
American,65.00769185258002,58.137767414994535,33.015148038438355
American,82.0,52.3450093132096,43.104524124504614
American,69.02897942168927,52.15361924162119,53.03772242470448
American,82.02438661763951,57.07889277132134,41.012193308819754
American,80.22468448052632,57.21887800367987,51.088159097779204
American,75.0,53.009433122794285,48.010415536631214
American,77.02596964660685,50.15974481593781,44.10215414239989
American,79.00632886041473,58.0,56.00892785976178
American,69.1158447825099,52.15361924162119,52.03844732503075
American,66.0,48.373546489791295,41.048751503547585
American,73.02739212103907,59.135437767890075,54.00925846556311
American,80.09993757800315,50.24937810560445,43.56604182158393
American,67.89698078707183,60.08327554319921,46.87216658103186
Arabic,61.07372593840988,54.00925846556311,43.01162633521314
Arabic,61.0,55.00909015790027,35.014282800023196
Arabic,66.007575322837,55.00909015790027,42.0
Arabic,64.00781202322104,59.00847396772772,46.010868281309364
Arabic,64.03124237432849,53.009433122794285,38.01315561749642
Arabic,64.00781202322104,57.0350769263968,41.0
Arabic,71.0,62.07253821135398,45.0111097397076
Arabic,64.19501538281614,58.215118311311535,39.01281840626232
Arabic,60.00833275470999,60.0,46.010868281309364
Arabic,72.11102550927978,61.032778078668514,44.04543109109048
Arabic,60.03332407921454,61.00819617067857,35.014282800023196
Arabic,63.071388124885914,64.03124237432849,41.012193308819754
Arabic,62.0,59.00847396772772,47.0
Arabic,68.0294054067798,63.12685640834652,45.0
Arabic,66.03029607687671,56.0357029044876,38.05259518088089
Arabic,61.032778078668514,67.02984409947557,45.0
Arabic,60.03332407921454,51.03920062069938,42.04759208325728
Arabic,66.007575322837,63.00793600809346,40.01249804748511
Arabic,61.00819617067857,55.00909015790027,40.01249804748511
Arabic,68.00735254367721,60.03332407921454,41.0
Arabic,71.0,62.289646009589745,36.013886210738214
Arabic,62.03224967708329,61.07372593840988,43.104524124504614
Arabic,65.00769185258002,60.03332407921454,38.01315561749642
Arabic,67.0,56.0357029044876,42.01190307520001
Arabic,62.20128616033595,55.14526271584895,35.05709628591621
Arabic,71.00704190430693,61.07372593840988,54.00925846556311
Arabic,63.071388124885914,61.0,36.05551275463989
Arabic,70.11419257183242,61.29437168288782,52.03844732503075
Arabic,58.008620049092706,55.0,42.01190307520001
Arabic,64.03124237432849,55.14526271584895,36.013886210738214
Arabic,66.27216610312357,62.80127387243033,42.2965719651132
Arabic,61.0,56.00892785976178,37.0
Arabic,64.13267497929586,52.46903848937962,38.63935817272331
Arabic,55.08175741568164,49.36598018878993,47.16990566028302
Arabic,63.63961030678928,37.33630940518894,40.19950248448356
Arabic,57.0,57.0350769263968,37.0
Arabic,62.12889826803627,57.3149195236284,47.095647357266465
Arabic,64.19501538281614,51.15662224971465,51.15662224971465
Arabic,66.0,54.00925846556311,42.04759208325728
Arabic,61.07372593840988,57.0087712549569,46.010868281309364
Arabic,61.032778078668514,52.3450093132096,48.010415536631214
Arabic,63.0317380372777,64.00781202322104,39.01281840626232
Arabic,71.06335201775947,58.137767414994535,57.0350769263968
Arabic,54.0,42.1070065428546,31.0
Arabic,62.12889826803627,50.08991914547278,42.04759208325728
Arabic,59.00847396772772,56.0,41.10960958218893
Arabic,62.07253821135398,50.15974481593781,39.11521443121589
Arabic,60.07495318350236,56.08029957123981,52.08646657242167
Austrilian,67.00746227100382,58.008620049092706,51.0
Austrilian,67.00746227100382,58.008620049092706,51.0
Austrilian,61.5223536610881,54.3323108288245,39.319206502675
Austrilian,61.5223536610881,54.3323108288245,39.319206502675
Austrilian,65.0,63.0317380372777,36.013886210738214
Austrilian,65.0,63.0317380372777,36.013886210738214
Austrilian,65.00769185258002,57.0,34.0
Austrilian,65.00769185258002,57.0,34.0
Austrilian,73.0,60.13318551349163,40.0
Austrilian,73.0,60.13318551349163,40.0
Austrilian,68.00735254367721,57.0350769263968,56.00892785976178
Austrilian,68.00735254367721,57.0350769263968,56.00892785976178
Austrilian,66.18912297349165,56.0,42.1070065428546
Austrilian,66.18912297349165,56.0,42.1070065428546
Austrilian,69.06518659932803,54.230987451824994,36.05551275463989
Austrilian,69.06518659932803,54.230987451824994,36.05551275463989
Austrilian,61.00819617067857,55.036351623268054,45.0111097397076
Austrilian,61.00819617067857,55.036351623268054,45.0111097397076
Austrilian,57.07889277132134,55.0,40.01249804748511
Austrilian,57.07889277132134,55.0,40.01249804748511
Austrilian,72.0,60.00833275470999,41.012193308819754
Austrilian,72.0,60.00833275470999,41.012193308819754
Austrilian,12.0,12.041594578792296,8.06225774829855
Austrilian,12.0,12.041594578792296,8.06225774829855
Austrilian,67.00746227100382,59.00847396772772,43.0
Austrilian,67.00746227100382,59.00847396772772,43.0
Austrilian,63.00793600809346,60.03332407921454,34.0
Austrilian,63.00793600809346,60.03332407921454,34.0
Austrilian,69.58448102845921,70.8590149522275,40.311288741492746
Austrilian,69.58448102845921,70.8590149522275,40.311288741492746
Austrilian,61.40032573203501,57.87054518492115,31.25699921617557
Austrilian,61.40032573203501,57.87054518492115,31.25699921617557
Austrilian,63.00793600809346,61.29437168288782,44.04543109109048
Austrilian,63.00793600809346,61.29437168288782,44.04543109109048
Austrilian,62.00806399170998,62.00806399170998,42.0
Austrilian,62.00806399170998,62.00806399170998,42.0
Austrilian,68.00735254367721,59.00847396772772,36.013886210738214
Austrilian,68.00735254367721,59.00847396772772,36.013886210738214
Austrilian,64.03124237432849,63.071388124885914,38.01315561749642
Austrilian,64.03124237432849,63.071388124885914,38.01315561749642
Austrilian,66.61080993352356,61.84658438426491,34.23448553724738
Austrilian,66.61080993352356,61.84658438426491,34.23448553724738
Austrilian,69.06518659932803,52.03844732503075,52.15361924162119
Austrilian,69.06518659932803,52.03844732503075,52.15361924162119
Austrilian,70.11419257183242,61.204574992397426,44.10215414239989
Austrilian,70.11419257183242,61.204574992397426,44.10215414239989
Austrilian,64.03124237432849,69.46221994724903,31.0
Austrilian,64.03124237432849,69.46221994724903,31.0
Austrilian,66.03029607687671,57.0,36.05551275463989
Austrilian,66.03029607687671,57.0,36.05551275463989
Austrilian,66.06814663663572,54.230987451824994,53.03772242470448
Austrilian,66.06814663663572,54.230987451824994,53.03772242470448
Austrilian,72.06247289678588,54.230987451824994,32.2490309931942
Austrilian,72.06247289678588,54.230987451824994,32.2490309931942
Austrilian,68.06614430096654,52.03844732503075,40.049968789001575
Austrilian,68.06614430096654,52.03844732503075,40.049968789001575
Austrilian,68.0,51.088159097779204,37.013511046643494
Austrilian,68.0,51.088159097779204,37.013511046643494
Austrilian,68.00735254367721,57.0350769263968,37.013511046643494
Austrilian,68.00735254367721,57.0350769263968,37.013511046643494
Austrilian,73.00684899377592,60.00833275470999,50.00999900019995
Austrilian,73.00684899377592,60.00833275470999,50.00999900019995
Austrilian,69.00724599634447,51.15662224971465,45.044422518220834
Austrilian,69.00724599634447,51.15662224971465,45.044422518220834
Austrilian,66.03029607687671,49.25444142409901,29.154759474226502
Austrilian,66.03029607687671,49.25444142409901,29.154759474226502
Austrilian,74.24284477308234,55.731499172371095,56.142675390472796
Austrilian,74.24284477308234,55.731499172371095,56.142675390472796
Austrilian,76.90253571892151,58.240879114244144,38.600518131237564
Austrilian,76.90253571892151,58.240879114244144,38.600518131237564
Austrilian,87.00574693662483,57.0350769263968,67.0
Austrilian,87.00574693662483,57.0350769263968,67.0
Austrilian,72.06247289678588,52.08646657242167,42.01190307520001
Austrilian,72.06247289678588,52.08646657242167,42.01190307520001
Austrilian,82.02438661763951,52.009614495783374,42.0
Austrilian,82.02438661763951,52.009614495783374,42.0
Austrilian,75.16648189186454,55.14526271584895,50.039984012787215
Austrilian,75.16648189186454,55.14526271584895,50.039984012787215
Balkan,66.03029607687671,58.008620049092706,38.3275357934736
Balkan,71.02816342831905,62.0,43.0
Balkan,61.0,57.0087712549569,33.0
Balkan,68.06614430096654,57.21887800367987,39.0
Balkan,68.06614430096654,56.00892785976178,49.040799340956916
Balkan,73.10950690573696,55.036351623268054,41.012193308819754
Balkan,64.00781202322104,57.0350769263968,46.010868281309364
Balkan,62.20128616033595,55.731499172371095,47.042533945356304
Balkan,70.02856560004639,62.07253821135398,54.00925846556311
Balkan,72.0,66.12110101926616,37.013511046643494
Balkan,62.00806399170998,63.0,34.0147027033899
Balkan,71.25307010929424,52.15361924162119,34.132096331752024
Balkan,69.06518659932803,65.03076195155643,43.0
Balkan,65.03076195155643,66.007575322837,43.01162633521314
Balkan,62.00806399170998,65.0,36.124783736376884
Balkan,70.11419257183242,64.07027391856539,46.010868281309364
Balkan,65.00769185258002,58.137767414994535,49.0
Balkan,67.06713054842886,62.00806399170998,46.010868281309364
Balkan,75.32595834106593,64.93843238021688,45.17742799230607
Balkan,65.00769185258002,59.00847396772772,38.05259518088089
Balkan,70.02856560004639,56.00892785976178,39.01281840626232
Balkan,65.03076195155643,63.0317380372777,39.05124837953327
Balkan,67.00746227100382,56.0357029044876,38.0
Balkan,65.00769185258002,55.00909015790027,34.0
Balkan,66.0,62.00806399170998,46.010868281309364
Balkan,63.0317380372777,53.0,47.042533945356304
Balkan,66.18912297349165,54.91812087098393,37.12142238654117
Balkan,65.27633568147036,53.150729063673246,37.05401462729781
Balkan,67.0,53.03772242470448,40.01249804748511
Balkan,62.03224967708329,60.00833275470999,34.0147027033899
Balkan,57.21887800367987,49.36598018878993,38.2099463490856
Balkan,69.87131027825369,52.392747589718944,55.731499172371095
Balkan,58.0,59.0,49.01020301937138
Balkan,63.387695966961914,59.033888572581766,46.2709412050371
Balkan,62.12889826803627,51.19570294468082,36.013886210738214
Balkan,64.07027391856539,55.0,34.132096331752024
Balkan,57.07889277132134,53.33854141237835,38.118237105091836
Balkan,52.46903848937962,58.52349955359813,28.442925306655784
Balkan,62.20128616033595,59.135437767890075,44.01136216933077
Balkan,56.00892785976178,49.09175083453431,36.0
Balkan,69.18092222571191,55.08175741568164,43.104524124504614
Balkan,63.0317380372777,59.00847396772772,44.04543109109048
Balkan,69.00724599634447,59.00847396772772,51.03920062069938
Balkan,61.98386886924694,55.10898293381942,42.42640687119285
Balkan,59.033888572581766,54.147945482723536,39.01281840626232
Balkan,62.00806399170998,54.00925846556311,37.0
Balkan,64.00781202322104,52.15361924162119,34.0
Balkan,61.00819617067857,56.0357029044876,33.015148038438355
Balkan,57.706152185014034,50.92150822589606,37.33630940518894
Balkan,65.06919393998976,66.06814663663572,43.04648650006177
Balkan,30.01666203960727,37.0,23.0
European,68.00735254367721,58.077534382926416,40.01249804748511
European,62.03224967708329,56.22277118748239,39.01281840626232
European,59.0,58.137767414994535,35.0
European,67.02984409947557,63.00793600809346,40.01249804748511
European,69.02897942168927,61.032778078668514,49.040799340956916
European,69.00724599634447,60.0,37.013511046643494
European,70.0,59.07622195096772,51.0098029794274
European,63.0,56.08029957123981,46.0
European,64.0,58.034472514187634,40.0
European,63.0317380372777,62.0,41.012193308819754
European,63.00793600809346,58.0,47.0
European,69.02897942168927,59.07622195096772,49.0
European,70.0,77.31752712031083,46.0
